SEASON	COMPETITION	PLAYER	TEAM	POS	OLD	NEW
1934	International Football	Kasi Hnamano	ENC	DEF	53	54
1934	International Football	Nidoïsh Naisseline	ENC	MID	54	53
1934	International Football	Poindi Kabar	ENC	MID	52	53
1934	International Football	Ramsay Sutherland	ENC	MID	53	54
1934	International Football	Ézéchiel Tein	ENC	MID	48	49
1934	International Football	Kailash Rath	ENR	DEF	66	63
1934	International Football	Archibald Bamford	ENR	MID	67	69
1934	International Football	Bhagaban Pradhan	ENR	MID	64	66
1934	International Football	Rupert Cavendish	ENR	DEF	69	67
1934	International Football	Clive Forsyth	ENR	FWD	63	62
1934	International Football	Fulgens Tirkey	ENR	DEF	66	65
1934	International Football	Gyan Hansda	ENR	MID	67	68
1934	International Football	Lakhan Hembrom	ENR	MID	65	66
1934	International Football	Madhusudan Patnaik	ENR	FWD	70	69
1934	International Football	Nilambar Senapati	ENR	FWD	69	68
1934	International Football	Somaru Markam	ENR	DEF	65	64
1934	International Football	Fengqi Lu	FUR	MID	71	73
1934	International Football	Hengbo Liu	FUR	DEF	74	76
1934	International Football	Liang Wu	FUR	DEF	72	74
1934	International Football	Qiang Zhu	FUR	MID	72	74
1934	International Football	Xiang Qian	FUR	DEF	72	74
1934	International Football	Hanwen Qiu	FUR	MID	71	72
1934	International Football	Haoran Peng	FUR	MID	73	74
1934	International Football	Mingzhe Xiong	FUR	DEF	74	73
1934	International Football	Ning Jiang	FUR	FWD	70	71
1934	International Football	Tianyu Gu	FUR	MID	74	75
1934	International Football	Yicheng Tan	FUR	MID	70	69
1934	International Football	Zhiyuan Fang	FUR	MID	70	71
1934	International Football	Anton Orlov	GIA	DEF	70	68
1934	International Football	Gleb Vorontsov	GIA	MID	71	73
1934	International Football	Timur Iskanderov	GIA	MID	72	74
1934	International Football	Dmitry Belov	GIA	DEF	70	71
1934	International Football	Maxim Fedorov	GIA	DEF	71	70
1934	International Football	Nikolai Lebedev	GIA	MID	71	72
1934	International Football	Roman Stepanov	GIA	DEF	70	69
1934	International Football	Tolib Rahimov	GIA	MID	70	69
1934	International Football	Ural Yusupov	GIA	MID	72	73
1934	International Football	Yuri Bogdanov	GIA	MID	70	71
1934	International Football	Changming Zhao	GUA	MID	74	72
1934	International Football	Wenkai Zhao	GUA	MID	73	75
1934	International Football	Yuan Li	GUA	DEF	70	68
1934	International Football	Zhihao Tang	GUA	MID	69	71
1934	International Football	Haoyu Shi	GUA	MID	70	69
1934	International Football	Weilin Fu	GUA	MID	70	69
1934	International Football	Yuxuan Cui	GUA	FWD	70	71
1934	International Football	Zixuan Wang	GUA	GK	71	72
1934	International Football	Darsing Teron	GUP	FWD	59	56
1934	International Football	Swrang Narzary	GUP	DEF	61	59
1934	International Football	Amarjyoti Bhuyan	GUP	FWD	62	63
1934	International Football	Gusztáv Molnár	GUP	DEF	62	63
1934	International Football	Jenő Szántó	GUP	FWD	58	59
1934	International Football	Khagen Basumatary	GUP	DEF	60	61
1934	International Football	Lajos Újföldi	GUP	MID	68	69
1934	International Football	Nilotpal Konwar	GUP	DEF	55	56
1934	International Football	Anton Westerberg	HAV	DEF	74	76
1934	International Football	Arvid Wettergren	HAV	FWD	71	70
1934	International Football	Wojciech Borucki	HAV	DEF	70	69
1934	International Football	Andres Raivo	KFK	GK	42	39
1934	International Football	Dōren Lâchūaton	KFK	FWD	43	41
1934	International Football	Nūmho Laranyal	KFK	MID	44	46
1934	International Football	Paavo Suursaaren	KFK	MID	38	40
1934	International Football	Daiwo Âhänōnyte	KFK	FWD	40	41
1934	International Football	Engalo Samāyan	KFK	DEF	41	40
1934	International Football	Noren Apngan	KFK	DEF	39	38
1934	International Football	Olavi Marvinen	KFK	FWD	39	40
1934	International Football	Phailo Shomponen	KFK	DEF	40	41
1934	International Football	Risto Ātlaköneinen	KFK	MID	42	43
1934	International Football	Vīren Chōna	KFK	MID	40	41
1934	International Football	Odd-Isak Hætta	KKM	GK	46	42
1934	International Football	Veikko Turkunen	KKM	FWD	46	43
1934	International Football	Biera Tuuliparänen	KKM	DEF	45	44
1934	International Football	Feodor Kulanen	KKM	MID	47	46
1934	International Football	Jovnna Urujärven	KKM	DEF	47	46
1934	International Football	Juhani Norsuunlainen	KKM	FWD	50	51
1934	International Football	Sámmol Krusinen	KKM	DEF	48	47
1934	International Football	Ulrik Sejtala	KKM	MID	45	46
1934	International Football	Papnoute Kenamun	KMT	DEF	69	67
1934	International Football	Hor Senedjem	KMT	DEF	74	73
1934	International Football	Pakhom Userhat	KMT	DEF	74	73
1934	International Football	Phib Bakenkhons	KMT	FWD	71	70
1934	International Football	Tadros Amenemhat	KMT	MID	73	74
1934	International Football	Hartwig Von Buxhoeveden	LVO	DEF	74	76
1934	International Football	Kaspars Vaitkus	LVO	DEF	70	71
1934	International Football	Otto Manteuffel	LVO	MID	70	71
1934	International Football	Reinhold Von Ungern	LVO	MID	72	71
1934	International Football	Ulrik Zilinkas	LVO	MID	74	75
1934	International Football	Woldemar Wrangell	LVO	FWD	68	69
1934	International Football	Itamar Ben-Zaken	MGN	MID	63	61
1934	International Football	Erez Malka	MGN	FWD	63	62
1934	International Football	Kyrillos Sennefer	MGN	DEF	64	63
1934	International Football	Navid Zarrinkoub	MGN	MID	67	68
1934	International Football	Netanel Elbaz	MGN	MID	66	65
1934	International Football	Zohar Lavi	MGN	DEF	64	65
1934	International Football	Jan Morsztyn	MLM	MID	70	72
1934	International Football	Leif Jonsson	MLM	DEF	69	67
1934	International Football	Neil Dike	MLM	FWD	71	72
1934	International Football	Atiqtalik Ahmaogak	MOR	GK	65	66
1934	International Football	Dorofei Lestenkof	MOR	FWD	64	63
1934	International Football	Eben Nageak	MOR	DEF	63	62
1934	International Football	Feoktist Shishkoff	MOR	FWD	62	63
1934	International Football	Katlian Kadashan	MOR	MID	67	66
1934	International Football	Levi Kignak	MOR	FWD	64	63
1934	International Football	Nanuq Oyagak	MOR	MID	68	67
1934	International Football	Piquk Ipalook	MOR	DEF	63	64
1934	International Football	Qillaq Nutaaq	MOR	MID	62	61
1934	International Football	Veniamin Tarakanoff	MOR	MID	66	67
1934	International Football	Almeri Palomäki	MRJ	MID	72	71
1934	International Football	Iilpo Kolemainen	MRJ	MID	74	73
1934	International Football	Ohto Voutilainen	MRJ	DEF	73	72
1934	International Football	Yakov Sorokin	MYH	MID	74	75
1934	International Football	Anirban Goswami	NHO	DEF	74	76
1934	International Football	Ashim Bhattacharya	NHO	GK	73	75
1934	International Football	Bhupen Narishita	NHO	FWD	70	68
1934	International Football	Jatin Sudatta	NHO	FWD	71	69
1934	International Football	Susumu Uehara	NHO	DEF	69	71
1934	International Football	Yoshio Hanazawa	NHO	FWD	73	75
1934	International Football	Amiya Majumdar	NHO	DEF	69	70
1934	International Football	Haripada Bagchi	NHO	MID	70	69
1934	International Football	Khagendra Mitra	NHO	DEF	71	72
1934	International Football	Phani Kyaithang	NHO	DEF	73	74
1934	International Football	Minoru Andō	NKI	FWD	74	72
1934	International Football	Eijiro Matsumoto	NKI	MID	73	74
1934	International Football	Nyilan Shikishima	NKI	FWD	72	71
1934	International Football	Sadao Garabin	NKI	MID	72	71
1934	International Football	Tarran Nyaruguru	NKI	MID	72	73
1934	International Football	Chirá Nubrí	NMZ	FWD	63	65
1934	International Football	Ditsö Nakí	NMZ	MID	65	67
1934	International Football	Duchí Siwöl	NMZ	MID	65	67
1934	International Football	Namú Suriá	NMZ	DEF	68	70
1934	International Football	Tsirú Diköl	NMZ	DEF	67	69
1934	International Football	Yëría Kaché	NMZ	MID	74	76
1934	International Football	Dowá Tuvöl	NMZ	DEF	66	67
1934	International Football	Juní Börá	NMZ	FWD	65	66
1934	International Football	Kanë Dabá	NMZ	MID	65	66
1934	International Football	Këbö Wirbli	NMZ	MID	63	62
1934	International Football	Sibö Kurbli	NMZ	GK	73	74
1934	International Football	Sulá Bikakö	NMZ	DEF	66	67
1934	International Football	Talí Sabákö	NMZ	MID	63	64
1934	International Football	Ioannes Dongolawi	NRG	DEF	55	57
1934	International Football	Stephanos Ballana	NRG	MID	54	56
1934	International Football	Theodoros Farasin	NRG	MID	55	57
1934	International Football	Yohannis Mina	NRG	MID	55	57
1934	International Football	Yohannis Sukkoti	NRG	DEF	51	53
1934	International Football	Damianos Faragab	NRG	MID	56	57
1934	International Football	Georgios Artigasha	NRG	DEF	60	61
1934	International Football	Kalidurut Bishoy	NRG	DEF	58	59
1934	International Football	Moüses Kyrillos	NRG	FWD	55	56
1934	International Football	Petros Nogedi	NRG	MID	52	53
1934	International Football	Tadros Sonqi	NRG	MID	56	57
1934	International Football	Faisal Al-Dosari	NSR	GK	66	68
1934	International Football	Jaadallah El-Farid	NSR	MID	63	65
1934	International Football	Badr Yami	NSR	MID	61	60
1934	International Football	Majed Al-Otaibi	NSR	DEF	63	62
1934	International Football	Turki Ibn Shammari	NSR	DEF	65	64
1934	International Football	Yazeed Al-Braik	NSR	FWD	60	61
1934	International Football	Nathan Grandmaison	OL	FWD	73	71
1934	International Football	Eeriks Uđđi	OTR	DEF	72	74
1934	International Football	Kjell Davidsson	OTR	MID	71	69
1934	International Football	Sigurd Filipsson	OTR	MID	72	70
1934	International Football	Staffan Hage	OTR	FWD	74	72
1934	International Football	Sten Hvit	OTR	DEF	74	76
1934	International Football	Johan Stille	OTR	DEF	73	74
1934	International Football	Sten Herdin	OTR	MID	74	73
1934	International Football	Arman Dosmukhamed	PER	DEF	70	72
1934	International Football	Evgeny Karpov	PER	GK	72	74
1934	International Football	Fedor Frolov	PER	FWD	70	72
1934	International Football	Klim Zaytsev	PER	MID	72	74
1934	International Football	Rodion Titov	PER	MID	71	73
1934	International Football	Stepan Andreev	PER	DEF	69	71
1934	International Football	Daulet Kenzhebayev	PER	MID	68	69
1934	International Football	Ivan Gavrilovic	PER	DEF	70	71
1934	International Football	Lev Gusev	PER	DEF	72	73
1934	International Football	Makar Kulikov	PER	MID	69	68
1934	International Football	Osman Mamut	PER	DEF	70	71
1934	International Football	Platon Denisov	PER	FWD	65	66
1934	International Football	Sevastyan Roshchin	PER	FWD	70	71
1934	International Football	Matěj Skočdopole	POL	DEF	72	69
1934	International Football	Vilém Zlatohlavý	POL	FWD	70	67
1934	International Football	Radim Vohánka	POL	MID	69	71
1934	International Football	Aleš Nejezchleb	POL	FWD	70	69
1934	International Football	Dušan Tóth	POL	DEF	69	68
1934	International Football	Jakub Svoboda	POL	GK	71	70
1934	International Football	Miroslav Přibyl	POL	FWD	74	75
1934	International Football	Zbyněk Bezruč	POL	MID	69	68
1934	International Football	Édouard Laroche	RCC	FWD	70	72
1934	International Football	Aymeric Lescure	RCC	DEF	73	72
1934	International Football	Fyodor Chistyakov	RUD	DEF	74	73
1934	International Football	Lev Zhdanov	RUD	DEF	72	71
1934	International Football	Amos Donnelly	SAL	FWD	70	72
1934	International Football	Elijah Tanner	SAL	MID	70	72
1934	International Football	Josiah Halloway	SAL	DEF	70	68
1934	International Football	Titus Calloway	SAL	FWD	72	74
1934	International Football	Zebulon Hartshorn	SAL	FWD	68	70
1934	International Football	Ephraim Bayliss	SAL	MID	69	68
1934	International Football	Ezekiel Bridger	SAL	DEF	72	73
1934	International Football	Gideon Colter	SAL	FWD	62	61
1934	International Football	Jonas Mercer	SAL	MID	69	70
1934	International Football	Micah Overstreet	SAL	MID	69	68
1934	International Football	Darven Miçkas	SEL	FWD	74	75
1934	International Football	Kutay Bulut	SEL	DEF	74	75
1934	International Football	Zeki Nari̇n	SEL	MID	73	74
1934	International Football	Guy Sharabi	SGN	DEF	65	67
1934	International Football	Koby Ben-Shabbat	SGN	MID	66	64
1934	International Football	Tomer Ivgi	SGN	DEF	65	67
1934	International Football	Elad Ifrach	SGN	FWD	67	66
1934	International Football	Hadar Rahamim	SGN	DEF	64	63
1934	International Football	Liran Gozlan	SGN	MID	61	60
1934	International Football	Nevo Pinto	SGN	FWD	67	66
1934	International Football	Ramin Qajarian	SGN	FWD	67	66
1934	International Football	Raz Zoaretz	SGN	MID	66	67
1934	International Football	Uri Kastiel	SGN	FWD	67	66
1934	International Football	Oded Levi	SHI	DEF	70	67
1934	International Football	Asaf Bar-Lev	SHI	DEF	72	70
1934	International Football	Dvir Alon	SHI	MID	72	74
1934	International Football	Iddo Avni	SHI	GK	68	70
1934	International Football	Boaz Ben-Ami	SHI	FWD	68	67
1934	International Football	Dolev Nagar	SHI	MID	67	68
1934	International Football	Maoz Shaked	SHI	MID	71	72
1934	International Football	Nadav Tzur	SHI	DEF	68	67
1934	International Football	Roi Ben-Haim	SHI	DEF	68	69
1934	International Football	Segev Even-Khen	SHI	MID	72	73
1934	International Football	Tomer Mizrahi	SHI	DEF	70	69
1934	International Football	Yerucham Lehrer	SHI	MID	74	75
1934	International Football	Yishai Galili	SHI	MID	69	70
1934	International Football	Yonatan Cohen	SHI	GK	72	73
1934	International Football	Kanata Murakumo	SHZ	MID	74	73
1934	International Football	Artem Tkachenko	SID	FWD	74	76
1934	International Football	Nazar Melnyk	SID	DEF	72	70
1934	International Football	Ihor Kovalenko	SID	DEF	73	74
1934	International Football	Klym Vernydub	SID	FWD	71	70
1934	International Football	Levko Chornovil	SID	FWD	71	70
1934	International Football	Panas Hrabovsky	SID	FWD	72	71
1934	International Football	Pavlo Dovzhenko	SID	MID	72	73
1934	International Football	Yurii Zahrebelny	SID	DEF	74	73
1934	International Football	Nima Sarmast	SKH	DEF	54	56
1934	International Football	Ryōhei Iwakuma	SKH	DEF	73	75
1934	International Football	Kaveh Bahmani	SKH	FWD	68	67
1934	International Football	Parviz Ghaderi	SKH	FWD	66	65
1934	International Football	Vandad Tabrizi	SKH	MID	65	66
1934	International Football	Duol Akol	SSA	GK	46	43
1934	International Football	Puok Gatluak	SSA	FWD	46	43
1934	International Football	Biel Chuol	SSA	DEF	47	49
1934	International Football	Festo Gbaduma	SSA	FWD	48	46
1934	International Football	Meir Shapira	SSA	DEF	44	46
1934	International Football	Atem Madut	SSA	DEF	46	45
1934	International Football	Deng Alier	SSA	DEF	42	43
1934	International Football	Eitan Halevi	SSA	MID	43	44
1934	International Football	Ring Majok	SSA	DEF	41	42
1934	International Football	Shmuel Berkovits	SSA	DEF	42	43
1934	International Football	János Juhász	TTK	DEF	70	72
1934	International Football	Ernő Koncz	TTK	MID	72	73
1934	International Football	Ferencz Tóth	TTK	GK	72	73
1934	International Football	Flórián Losonczy	TTK	FWD	73	72
1934	International Football	Péter Mákos	TTK	DEF	69	70
1934	International Football	Valter Fehér	TTK	FWD	70	69
1934	International Football	Ákos Tanyasi	TTK	DEF	68	67
1934	International Football	István Magvasi	TUR	FWD	74	76
1934	International Football	Zsolt Vadász	TUR	FWD	74	75
1934	International Football	Evgeny Pletnev	UKA	MID	69	68
1934	International Football	Lavr Vronsky	UKA	MID	74	75
1934	International Football	Osip Yudin	UKA	FWD	73	74
1934	International Football	Bienvenu Wongo	VAN	FWD	46	43
1934	International Football	Comlan Gbanou	VAN	GK	48	45
1934	International Football	Gennaro Mancini	VAN	DEF	47	48
1934	International Football	Léopold Yangongo	VAN	FWD	40	41
1934	International Football	Mahamat Ngaradoumbé	VAN	DEF	45	44
1934	International Football	Eskandar Dehghan	VAR	DEF	74	76
1934	International Football	Otto Ahmadi	VAR	MID	72	70
1934	International Football	Parviz Tahmasb	VAR	DEF	73	75
1934	International Football	Touraj Hayaii	VAR	DEF	73	75
1934	International Football	Ardalan Danesh	VAR	DEF	73	74
1934	International Football	Mehran Shahi	VAR	MID	72	73
1934	International Football	Siavash Mehrian	VAR	MID	74	75
1934	International Football	Sándor Bodor	VKS	MID	74	72
1934	International Football	Chu Hwang	VKS	DEF	70	69
1934	International Football	Alceste Derocles	ABB	DEF	76	77
1934	International Football	Sofiane Mansouri	ABB	MID	79	81
1934	International Football	Lakhdar Hamidi	ADV	MID	79	81
1934	International Football	Neçirvan Barzani	ADV	FWD	84	85
1934	International Football	Tamer Khalil	ADV	MID	77	75
1934	International Football	Yaqub Ghattas	ADV	MID	75	74
1934	International Football	Bastien Shengelia	AEK	FWD	76	74
1934	International Football	Hayk Khitaryan	AEK	MID	82	81
1934	International Football	Kakha Kvernadze	AEK	MID	83	85
1934	International Football	Yassine Benali	AEM	GK	81	82
1934	International Football	Youssef Valverde	AEM	MID	82	83
1934	International Football	Arthur Kohlberg	ALE	DEF	81	82
1934	International Football	Dirk Platz	ALE	FWD	81	80
1934	International Football	Ime Paulsen	ALE	MID	84	82
1934	International Football	Jorrit Blankenburg	ALE	FWD	80	82
1934	International Football	Ondřej Černý	ALE	MID	82	81
1934	International Football	Petr Procházka	ALE	FWD	82	83
1934	International Football	Thor Andresen	ALE	FWD	84	83
1934	International Football	Vojtěch Novotný	ALE	DEF	83	84
1934	International Football	Wieland Hummel	ALE	FWD	79	80
1934	International Football	Abe Bosman	ARM	MID	77	75
1934	International Football	Clayton Caldwell	ARM	DEF	84	83
1934	International Football	Efraín Arenas	ARM	DEF	84	86
1934	International Football	Florian Gruber	ARM	DEF	83	84
1934	International Football	Kuzma Zvezdinsky	ARM	MID	83	85
1934	International Football	Matěj Křížek	ARM	DEF	79	78
1934	International Football	Rodion Prokhorov	ARM	MID	75	74
1934	International Football	Severin Weyermann	ARM	FWD	78	77
1934	International Football	Shō Itoshi	ARM	FWD	89	88
1934	International Football	Stijn Boelens	ARM	MID	84	86
1934	International Football	Telmo Candeias	ARM	MID	86	84
1934	International Football	Tomáš Svoboda	ARM	MID	86	87
1934	International Football	Baptiste Roux	ARV	MID	80	81
1934	International Football	Esteban Palomer	ARV	MID	80	78
1934	International Football	Guillaume Maison	ARV	MID	84	85
1934	International Football	Hadrien Deschamps	ARV	DEF	83	81
1934	International Football	Rémi Gauthier	ARV	FWD	85	86
1934	International Football	Alejandro Varga	ASK	DEF	81	80
1934	International Football	Angel Castejón	ASK	DEF	80	81
1934	International Football	Antonio Sangüesa	ASK	MID	82	80
1934	International Football	Augustin Aragonés	ASK	FWD	83	81
1934	International Football	Bernardo Figueira	ASK	FWD	78	77
1934	International Football	Ibai Urrutia	ASK	DEF	86	87
1934	International Football	Íker Olabarría	ASK	MID	85	86
1934	International Football	Ismael Menéndez	ASK	DEF	85	86
1934	International Football	Jesus Halconero	ASK	FWD	83	82
1934	International Football	Joan Xirau	ASK	MID	81	80
1934	International Football	Martim Duarte	ASK	MID	82	81
1934	International Football	Matías Salcedo	ASK	FWD	85	84
1934	International Football	Nélson Ferreira	ASK	FWD	81	82
1934	International Football	Pau Puigcorbé	ASK	FWD	87	85
1934	International Football	Rodrigo Alvarenga	ASK	DEF	82	80
1934	International Football	Xavier Cienfuegos	ASK	GK	91	89
1934	International Football	Yeray Bengoetxea	ASK	MID	87	85
1934	International Football	Simphiwe Chabalala	ASP	MID	80	82
1934	International Football	Epaminondas Mavromatis	AST	MID	78	80
1934	International Football	Miltiadis Galanis	AST	FWD	90	89
1934	International Football	Nikolaos Papadopoulos	AST	GK	85	86
1934	International Football	Pyrros Dimitrakopoulos	AST	MID	77	76
1934	International Football	Themistoklis Zervas	AST	MID	80	82
1934	International Football	Étienne Trieu	ATK	MID	81	83
1934	International Football	Félix Doan	ATK	DEF	75	76
1934	International Football	Lam Vu	ATK	MID	78	76
1934	International Football	Vinh Ngo	ATK	FWD	81	82
1934	International Football	Ánselmo Fernandez	AUR	MID	78	79
1934	International Football	Arcadio Villa	AUR	MID	78	79
1934	International Football	Cayetano Montoya	AUR	DEF	78	79
1934	International Football	Emiliano Luna	AUR	MID	79	78
1934	International Football	Ivo Brandão	AUR	FWD	77	78
1934	International Football	Jacinto Valencia	AUR	DEF	78	77
1934	International Football	Jenaro Salamanca	AUR	DEF	81	82
1934	International Football	Jose Carlos Pescador	AUR	DEF	79	81
1934	International Football	Juvenal Vera	AUR	FWD	81	82
1934	International Football	Nicanor Arandia	AUR	FWD	78	80
1934	International Football	Olegario Pérez	AUR	MID	80	82
1934	International Football	Rafael Rosario	AUR	GK	80	82
1934	International Football	Severino Guzmán	AUR	FWD	77	76
1934	International Football	Daulat Siregar	CAH	FWD	79	81
1934	International Football	Linus Kitingan	CAH	DEF	78	80
1934	International Football	Made Djelantik	CAH	FWD	80	81
1934	International Football	Raka Wijaya	CAH	GK	75	77
1934	International Football	Teguh Setiawan	CAH	DEF	81	79
1934	International Football	Yopie Runtuwene	CAH	FWD	75	72
1934	International Football	Bartosz Jastrzębski	COR	MID	77	78
1934	International Football	Bogumił Cieślak	COR	DEF	76	77
1934	International Football	Erik Záhorský	COR	DEF	78	79
1934	International Football	Grzegorz Brzęczyszczykiewicz	COR	FWD	83	84
1934	International Football	Kacper Dembiński	COR	FWD	76	75
1934	International Football	Marek Kováč	COR	GK	85	87
1934	International Football	Miłosz Zawadzki	COR	FWD	79	76
1934	International Football	Peter Baláž	COR	DEF	78	80
1934	International Football	Szymon Kowalczyk	COR	MID	75	74
1934	International Football	Zbigniew Lewandowski	COR	DEF	78	79
1934	International Football	Johannn Baumgartner	DTK	FWD	75	73
1934	International Football	Chris Hadleigh	DYM	DEF	75	74
1934	International Football	Keiran Standish	DYM	MID	78	77
1934	International Football	Kengo Okitsu	DYM	MID	76	74
1934	International Football	Seishirō Amane	DYM	DEF	78	80
1934	International Football	Sōma Kirishima	DYM	FWD	78	79
1934	International Football	Teppei Motohashi	DYM	DEF	77	79
1934	International Football	Yoru Shirase	DYM	FWD	79	80
1934	International Football	Adolf Grimm	E02	FWD	76	77
1934	International Football	Chris Weimann	E02	DEF	81	82
1934	International Football	Frans Cuijpers	E02	FWD	80	79
1934	International Football	Heike Kaiser	E02	DEF	78	80
1934	International Football	Johan Weinertitz	E02	DEF	76	77
1934	International Football	Kay Wilms	E02	FWD	76	77
1934	International Football	Marvin Oppenheimer	E02	GK	79	80
1934	International Football	Rafaël Altena	E02	DEF	78	79
1934	International Football	Sascha Van Middlesworth	E02	DEF	79	80
1934	International Football	Stephan Kiefer	E02	MID	79	80
1934	International Football	Wiebe Simons	E02	MID	76	75
1934	International Football	Arthur Whitmore	ELV	MID	80	81
1934	International Football	Conor Dale	ELV	MID	79	78
1934	International Football	Dillon Heath	ELV	FWD	82	81
1934	International Football	Emrys Lockwood	ELV	DEF	79	80
1934	International Football	Ezequiel Mulholland	ELV	MID	82	80
1934	International Football	Gunner Cannon	ELV	MID	80	81
1934	International Football	Harry Caine	ELV	FWD	88	87
1934	International Football	Jabari Hess	ELV	DEF	78	75
1934	International Football	James Smith	ELV	DEF	79	80
1934	International Football	Jordan Stanford	ELV	GK	85	84
1934	International Football	Kieran Frost	ELV	MID	80	81
1934	International Football	Lewis Bardsley	ELV	MID	87	88
1934	International Football	Ryan Cole	ELV	MID	79	78
1934	International Football	Spencer Chadwick	ELV	MID	82	83
1934	International Football	Thomas Hargreaves	ELV	MID	84	83
1934	International Football	Warren Marshall	ELV	DEF	79	78
1934	International Football	Wesley Wetherby	ELV	DEF	82	83
1934	International Football	Dominic Winslow	ESU	FWD	85	86
1934	International Football	Freek Hendriks	ESU	FWD	80	78
1934	International Football	Horace Peshlakai	ESU	FWD	84	85
1934	International Football	Jadarian Royce	ESU	MID	87	89
1934	International Football	Kendrick Nakai	ESU	MID	84	83
1934	International Football	Peter Selhorst	ESU	FWD	81	82
1934	International Football	Philip Klein	ESU	DEF	83	82
1934	International Football	Spencer Jackson	ESU	GK	83	82
1934	International Football	Vito Moretti	ESU	MID	83	81
1934	International Football	Gijs Dreesens	F01	MID	88	90
1934	International Football	Gonzalo Valbuena	F01	MID	90	91
1934	International Football	Guntram Dirksen	F01	DEF	79	80
1934	International Football	Klaus Jonasen	F01	FWD	75	74
1934	International Football	Kurt Andela	F01	GK	79	80
1934	International Football	Lucas Jespersen	F01	DEF	80	81
1934	International Football	Manfred Frankenstein	F01	DEF	79	81
1934	International Football	Maxi Hintzen	F01	FWD	79	77
1934	International Football	Otmar Loritz	F01	FWD	77	76
1934	International Football	Rolf Siemon	F01	MID	80	78
1934	International Football	Sikke Pauwels	F01	MID	78	77
1934	International Football	Sheng Huang	FUR	MID	79	81
1934	International Football	Yang Chen	FUR	GK	75	76
1934	International Football	Zemin Mao	FUR	FWD	78	80
1934	International Football	András Kelemen	GAL	DEF	76	74
1934	International Football	Ayato Hachikawa	GAL	MID	78	79
1934	International Football	Ellis West	GAL	FWD	79	81
1934	International Football	Findlay Brodick	GAL	FWD	79	77
1934	International Football	Rory Kincardine	GAL	DEF	77	79
1934	International Football	Struan MacAllister	GAL	GK	78	79
1934	International Football	Sulo Toivakka	GAL	FWD	78	77
1934	International Football	Ilya Morozov	GIA	MID	80	81
1934	International Football	Chenguang Pei	GUA	FWD	76	78
1934	International Football	Guowei Sun	GUA	FWD	75	77
1934	International Football	Heng Kong	GUA	DEF	77	75
1934	International Football	Lingyun Hao	GUA	MID	76	73
1934	International Football	Qiushi Zhang	GUA	MID	76	78
1934	International Football	Emmett Harrison	HAN	DEF	81	80
1934	International Football	Ephraim Snyder	HAN	DEF	76	77
1934	International Football	Evgeny Makarov	HAN	DEF	76	77
1934	International Football	Frederick Peters	HAN	MID	79	78
1934	International Football	Kiyoshi Murandin	HAN	MID	83	82
1934	International Football	Leon Bierhals	HAN	MID	80	81
1934	International Football	Matthias Noack	HAN	GK	87	88
1934	International Football	Narra Catacutan	HAN	DEF	85	87
1934	International Football	Salvatore Romano	HAN	MID	79	77
1934	International Football	Sven Reier	HAN	MID	80	81
1934	International Football	Vilmos Szilágyi	HAN	FWD	80	81
1934	International Football	Carlos López	HAV	DEF	75	74
1934	International Football	Eetu Lehtinen	HAV	FWD	78	76
1934	International Football	Iisakki Saarikoski	HAV	DEF	76	78
1934	International Football	Jens Geirsson	HAV	FWD	77	79
1934	International Football	Uwe Schneider	HAV	FWD	77	75
1934	International Football	Alvaro Small	HOL	MID	77	76
1934	International Football	Ambrose Pickett	HOL	MID	80	81
1934	International Football	Callum Calhoun	HOL	GK	81	83
1934	International Football	Dale Landry	HOL	MID	80	82
1934	International Football	Emilio Escalona	HOL	DEF	78	79
1934	International Football	Fabián Machado	HOL	FWD	79	81
1934	International Football	James Feruccio	HOL	MID	78	80
1934	International Football	Kamron Chancellor	HOL	MID	87	89
1934	International Football	Reuben Mendoza	HOL	DEF	79	77
1934	International Football	Ricardo Sherman	HOL	MID	84	86
1934	International Football	Simón Arismendi	HOL	FWD	86	87
1934	International Football	Wade Boone	HOL	DEF	81	83
1934	International Football	Donovan Centurione	INT	FWD	77	75
1934	International Football	Emil Lehner	INT	FWD	79	77
1934	International Football	Ettore Longobardi	INT	MID	77	74
1934	International Football	Jack Kershaw	INT	DEF	76	74
1934	International Football	Rafferty Tinsley	INT	MID	76	74
1934	International Football	Detlef Lorenz	ISS	FWD	77	75
1934	International Football	Keigo Machida	ISS	DEF	80	79
1934	International Football	Nicolas Bellamy	ISS	DEF	79	80
1934	International Football	Ovidio Vico	ISS	MID	76	75
1934	International Football	Rhys Warwick	ISS	MID	78	77
1934	International Football	Serafim Correia	ISS	MID	79	80
1934	International Football	Aleksi Järveläinen	KAR	GK	82	83
1934	International Football	Armes Purtunen	KAR	FWD	81	79
1934	International Football	Christian Leino	KAR	GK	80	79
1934	International Football	Heikki Kovalainen	KAR	DEF	79	77
1934	International Football	Jaan Soosaar	KAR	MID	83	84
1934	International Football	Kasper Kaljurand	KAR	MID	86	87
1934	International Football	Konsta Yrjölä	KAR	DEF	83	82
1934	International Football	Kuismaa Kivisild	KAR	FWD	82	80
1934	International Football	Otto Kask	KAR	MID	81	79
1934	International Football	Paavo Seppälä	KAR	DEF	81	79
1934	International Football	Santeri Helkanen	KAR	DEF	78	77
1934	International Football	Tim Pukki	KAR	FWD	84	85
1934	International Football	Voptá Hendá	KAR	FWD	82	79
1934	International Football	Anoup Ptahmose	KMT	MID	79	81
